name	label	value
catches	1959-3-1-4	0	
catches	1959-3-2-0	0	
catches	1959-3-2-1	221	
catches	1959-3-2-2	423	
catches	1959-3-2-3	631	
catches	1959-3-2-4	32	
catches	1960-0-0-0	0	
catches	1960-0-0-1	56	
catches	1960-0-0-2	294	
catches	1960-0-0-3	72	
catches	1960-0-0-4	186	
catches	1960-0-1-0	0	
catches	1960-0-1-1	2289	
catches	1960-0-1-2	0	
catches	1960-0-1-3	0	
catches	1960-0-1-4	0	
catches	1960-0-2-0	0	
catches	1960-0-2-1	287	
catches	1960-0-2-2	445	
catches	1960-0-2-3	640	
catches	1960-0-2-4	52	
catches	1960-1-0-0	0	
catches	1960-1-0-1	56	
catches	1960-1-0-2	294	
catches	1960-1-0-3	72	
catches	1960-1-0-4	93	
catches	1960-1-1-0	0	
catches	1960-1-1-1	2754	
catches	1960-1-1-2	0	
catches	1960-1-1-3	0	
catches	1960-1-1-4	0	
catches	1960-1-2-0	0	
catches	1960-1-2-1	287	
catches	1960-1-2-2	445	
catches	1960-1-2-3	640	
catches	1960-1-2-4	67	
catches	1960-2-0-0	0	
catches	1960-2-0-1	56	
catches	1960-2-0-2	294	
catches	1960-2-0-3	72	
catches	1960-2-0-4	1	
catches	1960-2-1-0	0	
catches	1960-2-1-1	2107	
catches	1960-2-1-2	0	
catches	1960-2-1-3	0	
catches	1960-2-1-4	0	
catches	1960-2-2-0	0	
catches	1960-2-2-1	287	
catches	1960-2-2-2	445	
catches	1960-2-2-3	640	
catches	1960-2-2-4	40	
catches	1960-3-0-0	0	
catches	1960-3-0-1	56	
catches	1960-3-0-2	294	
catches	1960-3-0-3	72	
catches	1960-3-0-4	25	
catches	1960-3-1-0	0	
catches	1960-3-1-1	1850	
catches	1960-3-1-2	0	
catches	1960-3-1-3	0	
catches	1960-3-1-4	0	
catches	1960-3-2-0	0	
catches	1960-3-2-1	287	
catches	1960-3-2-2	445	
catches	1960-3-2-3	640	
catches	1960-3-2-4	60	
catches	1961-0-0-0	0	
catches	1961-0-0-1	143	
catches	1961-0-0-2	270	
catches	1961-0-0-3	43	
catches	1961-0-0-4	32	
catches	1961-0-1-0	0	
catches	1961-0-1-1	2183	
catches	1961-0-1-2	0	
catches	1961-0-1-3	0	
catches	1961-0-1-4	0	
catches	1961-0-2-0	0	
catches	1961-0-2-1	353	
catches	1961-0-2-2	497	
catches	1961-0-2-3	700	
catches	1961-0-2-4	58	
catches	1961-1-0-0	0	
catches	1961-1-0-1	38	
catches	1961-1-0-2	270	
catches	1961-1-0-3	47	
catches	1961-1-0-4	130	
catches	1961-1-1-0	0	
catches	1961-1-1-1	2490	
catches	1961-1-1-2	0	
catches	1961-1-1-3	0	
catches	1961-1-1-4	0	
catches	1961-1-2-0	0	
catches	1961-1-2-1	353	
catches	1961-1-2-2	497	
catches	1961-1-2-3	700	
catches	1961-1-2-4	51	
catches	1961-2-0-0	0	
catches	1961-2-0-1	13	
catches	1961-2-0-2	270	
catches	1961-2-0-3	242	
catches	1961-2-0-4	0	
catches	1961-2-1-0	0	
catches	1961-2-1-1	1638	
catches	1961-2-1-2	0	
catches	1961-2-1-3	0	
catches	1961-2-1-4	0	
catches	1961-2-2-0	0	
catches	1961-2-2-1	353	
catches	1961-2-2-2	497	
catches	1961-2-2-3	700	
catches	1961-2-2-4	60	
catches	1961-3-0-0	0	
catches	1961-3-0-1	190	
catches	1961-3-0-2	270	
catches	1961-3-0-3	43	
catches	1961-3-0-4	132	
catches	1961-3-1-0	0	
catches	1961-3-1-1	1689	
catches	1961-3-1-2	0	
catches	1961-3-1-3	0	
catches	1961-3-1-4	0	
catches	1961-3-2-0	0	
catches	1961-3-2-1	353	
catches	1961-3-2-2	497	
catches	1961-3-2-3	700	
catches	1961-3-2-4	72	
catches	1962-0-0-0	0	
catches	1962-0-0-1	25	
catches	1962-0-0-2	409	
catches	1962-0-0-3	51	
catches	1962-0-0-4	145	
catches	1962-0-1-0	0	
catches	1962-0-1-1	2203	
catches	1962-0-1-2	0	
catches	1962-0-1-3	0	
catches	1962-0-1-4	0	
catches	1962-0-2-0	0	
catches	1962-0-2-1	531	
catches	1962-0-2-2	648	
catches	1962-0-2-3	890	
catches	1962-0-2-4	108	
catches	1962-1-0-0	0	
catches	1962-1-0-1	7	
catches	1962-1-0-2	409	
catches	1962-1-0-3	53	
catches	1962-1-0-4	37	
catches	1962-1-1-0	0	
catches	1962-1-1-1	2342	
catches	1962-1-1-2	0	
catches	1962-1-1-3	0	
catches	1962-1-1-4	0	
catches	1962-1-2-0	0	
catches	1962-1-2-1	531	
catches	1962-1-2-2	648	
catches	1962-1-2-3	890	
catches	1962-1-2-4	74	
catches	1962-2-0-0	0	
catches	1962-2-0-1	2	
catches	1962-2-0-2	409	
catches	1962-2-0-3	68	
catches	1962-2-0-4	23	
catches	1962-2-1-0	0	
catches	1962-2-1-1	1700	
catches	1962-2-1-2	0	
catches	1962-2-1-3	0	
catches	1962-2-1-4	0	
catches	1962-2-2-0	0	
catches	1962-2-2-1	531	
catches	1962-2-2-2	648	
catches	1962-2-2-3	890	
catches	1962-2-2-4	86	
catches	1962-3-0-0	0	
catches	1962-3-0-1	37	
catches	1962-3-0-2	409	
catches	1962-3-0-3	46	
catches	1962-3-0-4	145	
catches	1962-3-1-0	0	
catches	1962-3-1-1	1755	
catches	1962-3-1-2	0	
catches	1962-3-1-3	0	
catches	1962-3-1-4	0	
catches	1962-3-2-0	0	
catches	1962-3-2-1	531	
catches	1962-3-2-2	648	
catches	1962-3-2-3	890	
catches	1962-3-2-4	95	
catches	1963-0-0-0	12	
catches	1963-0-0-1	98	
catches	1963-0-0-2	608	
catches	1963-0-0-3	89	
